1550	50
1626	50
1681	50
1270	50
1350	50
1260	50
1525	50
1578	50
1564	50
1740	50
1600	50
1258	100
1300	100
1305	100
1553	100
1305	100
1430	100
1367	100
1569	100
1531	100
1280	100
1554	100
1518	100
1587	100
1271	100
1430	100
1435	100
1065	150
1350	150
1450	150
1200	150
1550	150
1350	150
1300	200
1260	200
1390	200
1125	200
1220	200
1200	200
1320	200
1450	200
1285	200
1400	200
1172	250
1251	250
1013	250
1135	250
1231	250
1090	250
1000	250
1260	250
1120	250
1280	250
1095	250
1225	250
1210	250
1100	250
917	250
1430	300
1250	300
950	300
1166	300
1140	400
1025	400
880	400
1000	600
1030	600
850	600
1225	600
1015	600
1030	600
1100	600
1300	600
915	700
1057	700
727	900
880	900
800	1000
813	1000
1004	1000
780	1100
1059	1100
885	1200
1067	1200
940	1200
808	1500
848	1500
900	1600
775	1700
650	1700
804	1800
650	1800
